id	name	team	position	country	league_key	league
1741338	Gabriel	Botafogo RJ	LB	Brazil	brasileirao	Serie A
319589	Gabriel	Red Bull Bragantino	CDM,CM	Brazil	brasileirao	Serie A
793065	Gabriel	Tondela	Keeper	Brazil	liga_portugal	Liga Portugal
1650701	Isack Gabriel	Fluminense	Attacker	Brazil	brasileirao	Serie A
1958449	Juan Gabriel	Palmeiras	Attacker	Brazil	brasileirao	Serie A
1929749	Pedro Gabriel	Gremio	LB	Brazil	brasileirao	Serie A
1748486	Phillipe Gabriel	Vasco da Gama	Keeper	Brazil	brasileirao	Serie A
1931728	Rhuan Gabriel	Cruzeiro	Midfielder	Brazil	brasileirao	Serie A
1944639	Ruan Gabriel	Vitoria	Attacker	Brazil	brasileirao	Serie A
1574492	Tiago Gabriel	Lecce	CB	Portugal	serie_a	Serie A
1260080	Victor Gabriel	Internacional	CB,LB	Brazil	brasileirao	Serie A
1012842	Gianluca Gaetano	Cagliari	CM,CAM,CDM	Italy	serie_a	Serie A
485634	Roberto Gagliardini	Hellas Verona	CM,CDM	Italy	serie_a	Serie A
806552	Cody Gakpo	Liverpool	LW,ST	Netherlands	premier_league	Premier League
282462	Íñigo Ruíz de Galarreta	Athletic Club	CDM,CM	Spain	la_liga	LaLiga
1034321	Everton Galdino	Mirassol	RW	Brazil	brasileirao	Serie A
887141	Antonio Galeano	Mirassol	RW,LW	Paraguay	brasileirao	Serie A
966027	Conor Gallagher	Tottenham Hotspur	CM,CDM,CAM,LM	England	premier_league	Premier League
1136130	Tiago Galletto	AVS Futebol SAD	CM	Uruguay	liga_portugal	Liga Portugal
879065	Antonino Gallo	Lecce	LB	Italy	serie_a	Serie A
695062	Javi Galán	Osasuna	LB,LWB	Spain	la_liga	LaLiga
863708	Ignatius Ganago	Nantes	ST,LW,LM	Cameroon	ligue_1	Ligue 1
1202114	Omri Gandelman	Lecce	CAM,RW,CM,ST	Israel	serie_a	Serie A
1800469	Kaio Ganga	Santos FC	Attacker	Brazil	brasileirao	Serie A
1406645	Ismaëlo Ganiou	Lens	CB	France	ligue_1	Ligue 1
127400	Ganso	Fluminense	CAM	Brazil	brasileirao	Serie A
1283773	Maurício Garcez	Chapecoense AF	LW,ST,CAM,LM	Brazil	brasileirao	Serie A
1413282	Fabrício Garcia	Alverca	LB	Cape Verde	liga_portugal	Liga Portugal
1256650	Gustavo Garcia	Famalicao	RB	Brazil	liga_portugal	Liga Portugal
1928560	Jandro Garcia	Mallorca	Midfielder	Spain	la_liga	LaLiga
384413	Rubén Garcia	Osasuna	RW,CAM,LW	Spain	la_liga	LaLiga
520979	Ulisses Garcia	Sassuolo	LB,LWB	Switzerland	serie_a	Serie A
474658	Álvaro Garcia	Rayo Vallecano	LW,LM,ST	Spain	la_liga	LaLiga
845067	Facundo Garcés	Deportivo Alaves	CB	Malaysia	la_liga	LaLiga
642551	Aleix García	Bayer Leverkusen	CDM,CM	Spain	bundesliga	Bundesliga
1020113	Alejandro García	Athletico Paranaense	CAM	Colombia	brasileirao	Serie A
1430406	Andrés García	Aston Villa	LB	Spain	premier_league	Premier League
940573	Eric García	Barcelona	CB,RB,CDM	Spain	la_liga	LaLiga
750028	Fran García	Real Madrid	LB,LM	Spain	la_liga	LaLiga
1413847	Gonzalo García	Real Madrid	ST	Spain	la_liga	LaLiga
1167220	Joan García	Barcelona	GK	Spain	la_liga	LaLiga
183353	Kike García	Espanyol	ST	Spain	la_liga	LaLiga
1662379	Pablo García	Real Betis	RW	Spain	la_liga	LaLiga
1094778	Raúl García	Osasuna	ST	Spain	la_liga	LaLiga
1470001	Santi García	Gil Vicente	CAM,CDM	Spain	liga_portugal	Liga Portugal
977618	Víctor García	Levante	RW,RM,RB	Spain	la_liga	LaLiga
1803871	Ilann Garin	Angers	Midfielder	France	ligue_1	Ligue 1
1203665	Alejandro Garnacho	Chelsea	LW,CAM	Argentina	premier_league	Premier League
950474	James Garner	Everton	CDM,RB,LB,CM	England	premier_league	Premier League
1642840	Erawan Garnier	Lens	Midfielder	Thailand	ligue_1	Ligue 1
1830782	Christian Garofalo	Napoli	CB	Italy	serie_a	Serie A
1093746	Rodrigo Garro	Corinthians	CAM	Argentina	brasileirao	Serie A
1206806	Kialonda Gaspar	Lecce	CB	Angola	serie_a	Serie A
1717397	Karamba Gassama	Gaziantep FK	CM,RW	Gambia	super_lig	Super Lig
1189288	Federico Gatti	Juventus	CB	Italy	serie_a	Serie A
956291	Federico Gattoni	Sevilla	CB	Argentina	la_liga	LaLiga
1279040	Gavi	Barcelona	CDM,LW	Spain	la_liga	LaLiga
391058	José Gayà	Valencia	LB	Spain	la_liga	LaLiga
1468809	Emil Gazdov	St. Pauli	GK	Canada	bundesliga	Bundesliga
278285	Paulo Gazzaniga	Girona	GK	Argentina	la_liga	LaLiga
445226	Jean-Philippe Gbamin	Metz	CB,CDM,CM	Ivory Coast	ligue_1	Ligue 1
955411	Yann Gboho	Toulouse	LW,CAM,RW	Ivory Coast	ligue_1	Ligue 1
1518866	Matthew Gbomadu	Estrela da Amadora	RW	Nigeria	liga_portugal	Liga Portugal
182917	David de Gea	Fiorentina	GK	Spain	serie_a	Serie A
1797938	Gean	Vitoria	Defender	Brazil	brasileirao	Serie A
1667986	Viggo Gebel	RB Leipzig	Midfielder	Germany	bundesliga	Bundesliga
1576555	Furkan Gedik	Kocaelispor	LW	Turkiye	super_lig	Super Lig
881640	Lutsharel Geertruida	Sunderland	CB,RB,CDM	Netherlands	premier_league	Premier League
417743	Raffaele Di Gennaro	Inter	Keeper	Italy	serie_a	Serie A
1424875	Tyrique George	Everton	ST,LW,RW	England	premier_league	Premier League
450003	Georgemy	Mirassol	GK	Brazil	brasileirao	Serie A
1931736	Gerald	Bahia	Defender	Brazil	brasileirao	Serie A
209503	André Geraldes	Casa Pia AC	CB,LM,RM	Portugal	liga_portugal	Liga Portugal
450976	Yannick Gerhardt	Wolfsburg	CDM,CM	Germany	bundesliga	Bundesliga
1946407	Mael Gernigon	Angers	Defender	France	ligue_1	Ligue 1
580604	Gerson	Cruzeiro	CDM,RW,LW,CAM,CM	Brazil	brasileirao	Serie A
883824	Willem Geubbels	Paris FC	ST	France	ligue_1	Ligue 1
1398327	Baran Gezek	Eyüpspor	CM,CAM,CDM,CB	Turkiye	super_lig	Super Lig
1244924	Ismaël Gharbi	Augsburg	CAM,LW,CM	Tunisia	bundesliga	Bundesliga
210120	Rachid Ghezzal	Lyon	RW	Algeria	ligue_1	Ligue 1
1386006	Daniele Ghilardi	Roma	CB	Italy	serie_a	Serie A
1923234	Giacomo Giacomone	Lazio	Keeper	Italy	serie_a	Serie A
315235	Lautaro Giannetti	Antalyaspor	CB	Argentina	super_lig	Super Lig
380858	Andreas Gianniotis	Kasımpaşa	GK	Greece	super_lig	Super Lig
670009	Dimitrios Giannoulis	Augsburg	LWB,LM,LB	Greece	bundesliga	Bundesliga
1358345	Agustín Giay	Palmeiras	RB,CB,RWB	Argentina	brasileirao	Serie A
